store_name,region,open_year,store_area,parking_count,competitor_count,market_density,performance_excluding_tax23,population23,household23,longitude,latitude,competition_index,competition_log,population_log,area_log,household_size,demand_competition_ratio,parking_per_area,sales_per_person,sales_per_competitor,store_efficiency,predicted_sales,opportunity_gap,priority_score,expected_after_online,estimated_cost,roi,strategy,grade
여주점,경기도,2007,2350,433,1,7,768,63312,29928,127.635664072,37.28426282,8,2.1972245773362196,11.055845958294505,7.762596048540069,2.1154771451483563,7914.0,0.18425531914893617,0.012130401819560273,96.0,0.32680851063829786,775.7074022304328,7.707402230432763,85.21185179828011,892.0635125649976,38.785370111521644,3.1987193162852687,공격 투자,B
상주점,경상북도,2007,2110,454,1,2,295,28450,14576,128.151009692,36.427769013,3,1.3862943611198906,10.255938588321637,7.65491704784832,1.9518386388583973,9483.333333333334,0.21516587677725119,0.010369068541300527,98.33333333333333,0.13981042654028436,300.8273802613885,5.827380261388498,59.76525409159813,345.95148730059674,15.041369013069426,3.3874235288240757,공격 투자,B
성서점,대구,1999,2340,967,1,17,999,312200,130703,128.510168138,35.853330618,18,2.9444389791664403,12.651402490133291,7.75833346749091,2.3886215312578902,17344.444444444445,0.4132478632478632,0.003199871877001922,55.5,0.4269230769230769,1003.7046110191453,4.704611019145318,59.5199275627236,1154.2603026720171,50.18523055095727,3.093744931875292,공격 투자,B
수서점,서울특별시,2001,760,1000,1,6,248,270993,107814,127.103078798,37.48730916,7,2.0794415416798357,12.509851959395338,6.634633357861686,2.5135232901107463,38713.28571428572,1.3157894736842106,0.000915152789924463,35.42857142857143,0.3263157894736842,251.65877150664193,3.6587715066419264,45.77068990134433,289.4075872326382,12.582938575332097,3.290772420507135,공격 투자,B
일산점,경기,1994,1790,342,4,8,314,242037,102434,126.782281833,37.648099472,12,2.5649493574615367,12.396850017605109,7.490529402060711,2.362858035417928,20169.75,0.19106145251396647,0.001297322310225296,26.166666666666668,0.17541899441340783,317.4962960864147,3.496296086414702,43.343058200422774,365.1207404993769,15.874814804320735,3.220241692864542,공격 투자,C
포항점,경북,2001,3660,891,1,5,1129,105093,45661,129.397634504,35.992481861,6,1.9459101490553132,11.562610466748279,8.205491613120236,2.3015921683712577,17515.5,0.24344262295081967,0.010742865842634619,188.16666666666666,0.30846994535519123,1132.7237087521867,3.723708752186667,43.05579379315573,1302.6322650650145,56.636185437609335,3.0657478734384145,공격 투자,C
사천점,경상남도,2010,1680,408,1,1,225,39169,19052,128.077197425,34.950724458,2,1.0986122886681098,10.575666426659877,7.427144133408616,2.0558996430820913,19584.5,0.24285714285714285,0.00574433863514514,112.5,0.13392857142857142,227.805174911868,2.8051749118679936,29.66659413635092,261.97595114864816,11.3902587455934,3.2462784186490246,공격 투자,C
창동점,서울,1993,1440,159,1,7,600,176999,77565,127.04669933,37.65163617,8,2.1972245773362196,12.083905011555967,7.273092595999522,2.281944175852511,22124.875,0.11041666666666666,0.0033898496601675716,75.0,0.4166666666666667,601.563895527229,1.563895527228965,18.89796499903205,691.7984798563133,30.07819477636145,3.051994328079091,공격 투자,C
광명소하점,경기도,2010,3960,773,1,3,833,220623,86726,126.884551461,37.446479911,4,1.6094379124341003,12.304215174081522,8.284251797621916,2.543908401171506,55155.75,0.1952020202020202,0.0037756716208192254,208.25,0.21035353535353535,833.827181349073,0.8271813490730437,10.177817306981769,958.9012585514339,41.691359067453654,3.0198405944918854,공격 투자,C
충주점,충북,2001,3060,619,1,15,676,72346,33227,127.923752484,36.972112959,16,2.833213344056216,11.189229266099721,8.026496938945412,2.1773256688837392,4521.625,0.2022875816993464,0.009343985845796588,42.25,0.22091503267973855,676.6672834835049,0.6672834835048889,7.466387882417873,778.1673760060305,33.833364174175244,3.0197226465588694,공격 투자,C
미아점,서울특별시,2008,2780,196,3,12,615,147932,61889,127.029858624,37.610911596,15,2.772588722239781,11.904514747542745,7.930565854233965,2.390279371132188,9862.133333333333,0.07050359712230216,0.004157315523348566,41.0,0.22122302158273383,615.5966246357073,0.5966246357072578,7.102526774524367,707.9361183310633,30.779831231785366,3.019383622711066,공격 투자,C
화성봉담점,경기,2012,3380,589,3,5,661,0,0,126.972686753,37.222474073,8,2.1972245773362196,0.0,8.125926802707886,0.0,0.0,0.1742603550295858,661.0,82.625,0.19556213017751478,663.0334048349811,2.03340483498107,0.0,762.4884155602282,33.15167024174905,3.0613364219706884,공격 투자,C
마포점,서울특별시,2012,1960,364,2,16,770,155219,75063,126.953365518,37.542431509,18,2.9444389791664403,11.95259874440813,7.581209826196346,2.0678496729413958,8623.277777777777,0.18571428571428572,0.004960732899967143,42.77777777777778,0.39285714285714285,769.7799923665457,-0.2200076334543155,-2.629662963386256,885.2469912215274,38.488999618327284,2.994283882781155,공격 투자,C
남원점,전북특별자치도,1997,890,170,2,21,158,26450,13214,127.3749769,35.407643305,23,3.1780538303479458,10.183049243755137,6.792344427470809,2.001664900862721,1150.0,0.19101123595505617,0.005973534971644613,6.869565217391305,0.17752808988764046,157.33352982899515,-0.6664701710048462,-6.786698570836256,180.93355930334442,7.866676491449758,2.9152793213589967,성장 투자,C
청계천점,서울특별시,2008,2980,952,1,20,981,62548,32889,127.019843132,37.570745415,21,3.091042453358316,11.043705528557028,8.000014093678072,1.901790872328134,2978.4761904761904,0.3194630872483222,0.01568395472277291,46.714285714285715,0.32919463087248324,979.948655098156,-1.0513449018440042,-11.610743504914876,1126.9409533628793,48.997432754907805,2.9785428573961608,공격 투자,C
봉선점,광주광역시,2007,2490,580,1,11,868,95808,41175,126.916113758,35.122336298,12,2.5649493574615367,11.47011190526658,7.820439515262181,2.326848816029144,7984.0,0.23293172690763053,0.009059786239144956,72.33333333333333,0.3485943775100402,865.8350977543172,-2.1649022456828106,-24.83167102194476,995.7103624174647,43.29175488771586,2.949992735307268,공격 투자,C
목동점,서울특별시,2009,4610,717,2,14,1198,237943,93221,126.870360394,37.5260871,16,2.833213344056216,12.37979063084996,8.436200032206706,2.5524613552740263,14871.4375,0.15553145336225596,0.0050348192634370416,74.875,0.2598698481561822,1195.3209297071323,-2.6790702928676637,-33.16632931103156,1374.619069163202,59.76604648535662,2.9551740419449666,효율 투자,C
보라점,경기,2008,2080,379,2,2,269,237374,92806,127.105096046,37.247569437,4,1.6094379124341003,12.377396448114586,7.640603826393634,2.5577441113721098,59343.5,0.18221153846153845,0.001133232788763723,67.25,0.1293269230769231,266.2868279701665,-2.7131720298335154,-33.58200584518519,306.22985216569145,13.314341398508326,2.7962218371434058,보류,C
수색점,서울,2009,1980,228,1,2,287,264151,116644,126.89867899,37.579692922,3,1.3862943611198906,12.484279974019412,7.591357046698551,2.2645914063303727,88050.33333333333,0.11515151515151516,0.0010864997671786213,95.66666666666667,0.14494949494949494,284.1319516990153,-2.8680483009846967,-35.80551796850364,326.75174445386756,14.206597584950766,2.7981185654175986,보류,C
김포한강점,경기,2015,4040,635,2,6,1126,149697,60971,126.628311668,37.644226405,8,2.1972245773362196,11.916375210265032,8.304247465078474,2.4552164143609256,18712.125,0.15717821782178218,0.007521860825534246,140.75,0.27871287128712874,1121.8454979612472,-4.154502038752753,-49.50660510558884,1290.1223226554343,56.092274898062364,2.9259345061988875,보류,C
중동점,경기,2006,4040,705,3,12,1194,237396,100076,126.763949339,37.504065044,15,2.772588722239781,12.377489124178112,8.304247465078474,2.372157160557976,15826.4,0.1745049504950495,0.005029570843653642,79.6,0.29554455445544553,1189.1022180303037,-4.897781969696325,-60.62224306251191,1367.467550734849,59.455110901515184,2.917622187639857,보류,C
신월점,서울특별시,1999,560,69,1,7,304,237943,93221,126.828510888,37.539716647,8,2.1972245773362196,12.37979063084996,6.329720905522696,2.5524613552740263,29742.875,0.12321428571428572,0.0012776169082511358,38.0,0.5428571428571428,298.1399334978226,-5.860066502177403,-72.54639637981352,342.86092352249597,14.906996674891131,2.606891540262571,보류,C
하남점,경기도,2008,3570,620,1,5,1057,241315,101401,127.205369005,37.552755526,6,1.9459101490553132,12.393862556915915,8.18060094759445,2.3798088776244812,40219.166666666664,0.17366946778711484,0.004380167001636865,176.16666666666666,0.296078431372549,1050.3999505857385,-6.600049414261548,-81.80010530921102,1207.9599431735992,52.519997529286925,2.8743326404274643,보류,C
동해점,강원특별자치도,2004,2210,376,1,6,605,42775,20960,129.117129068,37.523921328,7,2.0794415416798357,10.663732476628567,7.701200180857446,2.0407919847328246,6110.714285714285,0.17013574660633485,0.014143775569842197,86.42857142857143,0.2737556561085973,596.7191581339367,-8.28084186606327,-88.30468234096439,686.2270318540271,29.835957906696837,2.7224542985360394,보류,C
수원점,경기,2001,4110,822,1,15,1088,146323,62665,127.020444602,37.251375256,16,2.833213344056216,11.8935786200339,8.321421586897879,2.3350035905210245,9145.1875,0.2,0.007435604792137941,68.0,0.2647201946472019,1080.3207887642761,-7.679211235723869,-91.33330257192951,1242.3689070789173,54.01603943821381,2.8578346114304076,보류,C
남양주점,경기도,2005,4010,660,1,12,1112,363572,146458,127.243053534,37.655110091,13,2.6390573296152584,12.803735381102499,8.296795865770052,2.4824318234579197,27967.076923076922,0.16458852867830423,0.0030585413618210424,85.53846153846153,0.2773067331670823,1104.6082834809943,-7.39171651900574,-94.64158232147359,1270.2995260031432,55.23041417404971,2.8661658321860104,보류,C
풍산점,경기,2014,4140,582,1,4,1034,242037,102434,126.78710118,37.673911063,5,1.791759469228055,12.396850017605109,8.328692583545568,2.362858035417928,48407.4,0.14057971014492754,0.004272074104372472,206.8,0.2497584541062802,1024.1471686500934,-9.852831349906637,-122.14407249355027,1177.7692439476073,51.20735843250467,2.807589540809969,보류,D
서산점,충청남도,2012,2480,446,1,3,552,67616,30801,126.47876913,36.788367226,4,1.6094379124341003,11.12161470970538,7.816416983691801,2.195253400863608,16904.0,0.17983870967741936,0.008163748225272126,138.0,0.22258064516129034,540.2086468190244,-11.791353180975648,-131.13888698487008,621.2399438418779,27.01043234095122,2.563451890286903,보류,D
다산점,경기도,2008,3060,650,2,12,868,363572,146458,127.157753794,37.608204464,14,2.70805020110221,12.803735381102499,8.026496938945412,2.4824318234579197,25969.428571428572,0.21241830065359477,0.002387422573795562,62.0,0.28366013071895424,857.4278094335525,-10.572190566447489,-135.3635304113818,986.0419808485854,42.87139047167763,2.7533975350430517,보류,D
양재점,서울특별시,2005,3290,649,2,2,845,156751,61266,127.036892786,37.462515128,4,1.6094379124341003,11.962420217584423,8.098946748943339,2.558531648875396,39187.75,0.1972644376899696,0.0053907152107482564,211.25,0.256838905775076,831.3975971679005,-13.602402832099528,-162.717658646435,956.1072367430854,41.569879858395026,2.67278224333495,보류,D
신제주점,제주특별자치도,2003,2530,295,2,41,1132,45802,21739,126.480495054,33.484824054,43,3.784189633918261,10.732104870140509,7.836369760545124,2.1069046414278487,1065.1627906976744,0.116600790513834,0.024715077944194575,26.325581395348838,0.4474308300395257,1116.3899233009304,-15.610076699069623,-167.52898016535198,1283.8484117960697,55.81949616504652,2.7203472304208174,보류,D
명일점,서울,2002,2990,433,1,7,836,222322,92359,127.15563282,37.554715024,8,2.1972245773362196,12.311886558387954,8.003363058629947,2.4071503589254974,27790.25,0.14481605351170568,0.003760311620082583,104.5,0.27959866220735785,821.5997826920708,-14.40021730792921,-177.2938419113592,944.8397500958813,41.079989134603544,2.6494590770035193,보류,D
동백점,경기도,2006,2160,1512,1,6,770,237374,92806,127.151586176,37.277980629,7,2.0794415416798357,12.377396448114586,7.6783263565068856,2.5577441113721098,33910.57142857143,0.7,0.0032438261983199507,110.0,0.35648148148148145,754.3567926486843,-15.64320735131571,-193.62217910729504,867.5103115459868,37.71783963243421,2.5852570692340517,보류,D
안동점,경북,2004,2320,438,1,2,626,38756,20524,128.69966698644004,36.55751437446666,3,1.3862943611198906,10.56506666362841,7.749753406274437,1.8883258624049892,12918.666666666666,0.18879310344827585,0.016152337702549282,208.66666666666666,0.26982758620689656,604.513866333463,-21.486133666536944,-227.00243453059355,695.1909462834825,30.225693316673155,2.2891433972604776,보류,D
강릉점,강원특별자치도,2002,3060,713,1,4,1138,90363,41760,128.922701884,37.77056471,5,1.791759469228055,11.411601236977113,8.026496938945412,2.1638649425287357,18072.6,0.23300653594771242,0.012593650055885705,227.6,0.3718954248366013,1117.3316714143775,-20.668328585622476,-235.85872405393886,1284.931422126534,55.86658357071888,2.63004130081698,보류,D
